id,TipoDeInmueble,TipoDeOperacion,Dormitorios,Precio,Moneda,Zona,FechaDeActualización,Descripcion
719,Departamento,Alquiler,,120000.0,Pesos,Bº Nueva Córdoba,08.10.2023,ALQUILER MONOAMBIENTE - FRUCTUOSO RIVERA - 34 (NUEVA CÓRDOBA)
720,Comercio,Alquiler,,50000.0,Pesos,Bº Centro,08.10.2023,Oficina en Pleno Centro - La Rioja al 800
721,Departamento,Alquiler,2.0,110000.0,Pesos,Bº Alta Córdoba,08.10.2023,"ALQ. ALTA CBA. INTERNO,  DOS DOR. MAS COCHERA,  SIN EXPENSAS"
722,Departamento,Alquiler,2.0,4200.0,Pesos,Bº Nueva Córdoba,08.10.2023,2 Dorm Premium- Excte. vista 
723,Casa,Alquiler,2.0,130000.0,Pesos,null,08.10.2023,ALQUILER CASA DE 2 DORMITORIOS - UNIVERSITARIO DE HORIZONTE
725,Departamento,Alquiler,2.0,220000.0,Pesos,Bº Quebrada de las Rosas,08.10.2023,AMPLIO DEPTO 2 DORMITORIOS ALTOVILLASOL
726,Casa,Alquiler,3.0,150000.0,Pesos,null,08.10.2023,"SANTA ISABEL 3ra,  CASA EN ALQUILER DE 3 DORMITORIOS"
727,Departamento,Alquiler,1.0,500.0,Dólares,Bº Nueva Córdoba,08.10.2023,Super Depto. en Alquiler Temporario en B° Nueva Córdoba
728,Casa,Alquiler,2.0,180000.0,Pesos,Bº Parque Chacabuco,08.10.2023,casa en Parque Chacabuco. calle Patricias Argentinas 2373
729,Departamento,Alquiler,2.0,250000.0,Pesos,Bº Nueva Córdoba,08.10.2023,Calle Rondeau depto alquiler 2 dormitorios
730,Departamento,Alquiler,2.0,150000.0,Pesos,Bº Pueyrredon,08.10.2023,ALQUILER DEPTO B PUEYRREDON 2 HAB
731,Departamento,Alquiler,2.0,1200.0,Dólares,Bº Villa Belgrano,08.10.2023,ALQUILER DEPARTAMENTO CON SEGURIDAD Y AMENITIES EN BARRIO VILLA BELGRANO
732,Comercio,Alquiler,,1500.0,Pesos,Bº Centro,08.10.2023,1070 mts2 local EXCELENTE ESTADO con oficinas y depósito
733,Comercio,Alquiler,,800000.0,Pesos,Bº San Vicente,08.10.2023,Galpón con oficinas a ESTRENAR en B° San Vicente a metros Av Costanera
734,Casa,Alquiler,2.0,400000.0,Pesos,Bº Villa Belgrano,08.10.2023,2 dormitorios 2 baños complejo cerrado seguridad a mts de la Recta y  Heriberto
735,Casa,Alquiler,,2000.0,Dólares,Bº Las Delicias,08.10.2023,Casa amoblada en alquiler en Country Las Delicias
736,Casa,Alquiler,2.0,175000.0,Pesos,Bº Otro,08.10.2023,B° CARCANO-ALQUILER-DE LAS ALTAS CUMBRES N° 4355
737,Casa,Alquiler,2.0,180000.0,Pesos,Bº Parque Velez Sarsfield,08.10.2023,Casa en ALQUILER Bº Parque Velez Sarsfield
738,Casa,Alquiler,3.0,180000.0,Pesos,Bº Maipu Sección 1,08.10.2023,Casa dos plantas 3d 
739,Casa,Alquiler,3.0,250000.0,Pesos,Bº General Paz,08.10.2023,B° GENERAL PAZ - DEHEZA AL 300 - CASA EN PLANTA ALTA - USO COMERCIAL 3 DORM  Y T
740,Comercio,Alquiler,,110000.0,Pesos,Bº Pueyrredon,08.10.2023,ALTO GENERAL PAZ - UCRANIA 348 - DEPOSITO O GALPON CON ENTRADA PARA UN  VEHICULO
741,Duplex,Alquiler,3.0,600.0,Dólares,Bº Otro,08.10.2023,"Greenville 2,  Duplex a estrenar en alquiler. 3 Dormitorios,  3 baños,  asador"
742,Departamento,Alquiler,1.0,120000.0,Pesos,Bº Alto Alberdi,08.10.2023,Alquilo Dpto. 1 Dormitorio . A metros de Duarte Quiros.
743,Penthouse,Alquiler,3.0,1600.0,Dólares,Bº Villa Belgrano,08.10.2023,EXCEPCIONAL PENTHOUSE - GRAN CATEGORÍA - CON HERMOSA VISTA Y AMENITIES 
744,Comercio,Alquiler,,40000.0,Pesos,Bº Arguello,08.10.2023,LOCAL COMERCIAL FTE. BLAS PASCAL EXC. UBICACIÓN C / ESTACIONAMIENTO
745,Comercio,Alquiler,,350000.0,Pesos,Bº Alta Córdoba,08.10.2023,ALTA CORDOBA - ANTONIO DEL VISO 868 - LOCAL EN ALQUILER
746,Comercio,Alquiler,,250000.0,Pesos,Bº Centro,08.10.2023,Alquilo local comercial c /  importante vidriera
747,Departamento,Alquiler,1.0,280000.0,Pesos,Bº Nueva Córdoba,08.10.2023,NVA CBA ALQUILER TEMPORAL AMOBLADO -CHACABUCO 600- 1 DORM FRENTE BALCÓN
748,Comercio,Alquiler,,38000.0,Pesos,Bº Centro,08.10.2023,Gal San Martín! 4 Locales. 5m2 a 250m2.Peatonal. Zona Peatonal. 4r-42.
749,Casa,Alquiler,3.0,2000.0,Dólares,Bº La Cascada Country Golf,08.10.2023,Casa La Cascada Country. Fondo golf. 500 m2. 3 dorm.
750,Departamento,Alquiler,1.0,100000.0,Pesos,Bº Centro,08.10.2023,B° CENTRO . SAN MARTIN N 700 . COCINA AMERICANA . MODERNO C /  PATIO
751,Departamento,Alquiler,2.0,150000.0,Pesos,Bº Alto Alberdi,08.10.2023,2 Dormitorio Frente c / Balcón Próximo Hospital de Clínicas
752,Departamento,Alquiler,2.0,75000.0,Pesos,Bº Alto Alberdi,08.10.2023,Departamento INTERNO en alquiler  /  2 DORMITORIOS  /  ALTO ALBERDI
753,Departamento,Alquiler,3.0,250000.0,Pesos,Bº Providencia,08.10.2023,Departamento tres dormitorios alquiler Providencia
754,Departamento,Alquiler,3.0,1000.0,Dólares,Bº Villa Belgrano,08.10.2023,"Departamento premium en alquiler,  tres dormitorios,  Zona norte,  Córdoba"
755,Departamento,Alquiler,2.0,160000.0,Pesos,Bº General Paz,08.10.2023,"Gral Paz Av. Patria 229,  2 dor balcon  Dpto Amplio Escritura"""
756,Departamento,Alquiler,1.0,120000.0,Pesos,Bº Alta Córdoba,08.10.2023,  ALTA CBA URQUIZA 1506 ESQ BEDOYA 1 DOR FTE BALCON 
757,Departamento,Alquiler,2.0,210000.0,Pesos,Bº General Paz,08.10.2023,Departamento B° General Paz -  2 Dormitorios
758,Departamento,Alquiler,,80000.0,Pesos,Bº Centro,08.10.2023,CTRA FRTE - ZNA TRIBUNALES
759,Casa,Alquiler,1.0,260000.0,Pesos,Bº Poeta Lugones,08.10.2023,CASA 1 DORM AMOBLADO TEMPORARIO EN POETA LUGONES
760,Casa,Alquiler,3.0,1200.0,Pesos,Bº Valle Escondido,08.10.2023,VALLE ESCONDIDO - ALQUILER TEMPORARIO - CASA
761,Casa,Alquiler,4.0,2900.0,Dólares,Bº Colón,08.10.2023,Casa en Alquiler en Country El Bosque
