TipoDeInmueble,TipoDeOperacion,Dormitorios,Precio,Moneda,Zona,FechaDeActualización,Descripcion
Comercio,Alquiler,1.0,95000.0,Pesos,Bº Centro,05.07.2023,"ALQUILER - Local Comercial 60mts2 aprox. c /  Sótano,  Depósito y Baño -$95.000"
Departamento,Alquiler,1.0,25000.0,Pesos,Bº Villa Union,29.06.2023,"Bº VILLA UNION,  SOBRE CALLE PRINCIPAL.-"
Departamento,Alquiler,1.0,65000.0,Pesos,Bº Cofico,29.06.2023,Alquilo Oficina C / Privado en Excelente Ubicación Bº Cofico
Departamento,Alquiler,1.0,115000.0,Pesos,Bº Nueva Córdoba,23.06.2023,ALQUILER Depto. 1 dm - Nueva Córdoba
Departamento,Alquiler,1.0,130000.0,Pesos,Bº Alta Córdoba,23.06.2023,ALQUILER DEPARTAMENTO UN DORMITORIO Y ½ Bº COFICO
Departamento,Alquiler,1.0,110000.0,Pesos,Bº Nueva Córdoba,23.06.2023,"Ituzaingo 750,  Un dormitorio"
Departamento,Alquiler,1.0,80000.0,Pesos,Bº Alberdi,22.06.2023,CENTRO 9 DE JULIO 800
Departamento,Alquiler,3.0,270000.0,Pesos,Bº Chacra del Norte,21.06.2023,CHACRA DEL NORTE ALQUILER 3 DORM NUEVO!!!!
Departamento,Alquiler,1.0,108500.0,Pesos,Bº Los Gigantes,13.06.2023,EXECELENTE OPORTUNIDADS B°Los Gigantes
Departamento,Alquiler,1.0,130000.0,Pesos,Bº General Paz,12.06.2023,Video! 2d Gral Paz + Coch Opcional. Calefacción. Sum. Piscina. 4R-334
Departamento,Alquiler,1.0,150.0,Pesos,Bº Manantiales,12.06.2023,Alquilo DEPTO en Manantiales
Departamento,Alquiler,1.0,130000.0,Pesos,Bº Nueva Córdoba,09.06.2023,En el Corazon de Nueva Cordoba ¡HERMOSO DPTO AMOBLADO! en alquiler
Departamento,Alquiler,1.0,42000.0,Pesos,Bº Padre Claret,06.06.2023,Alquilo Deposito a Metros de la Mujer Urbana
Comercio,Alquiler,1.0,320000.0,Pesos,Bº Docta Urbanización Inteligente,05.06.2023,Alquiler importante Local Comercial en Docta
Comercio,Alquiler,1.0,140000.0,Pesos,Bº Docta Urbanización Inteligente,05.06.2023,Alquiler Local Comercial Docta
Comercio,Alquiler,1.0,180000.0,Pesos,Bº Docta Urbanización Inteligente,05.06.2023,Alquiler Imponente Local Comercial en Docta
Departamento,Alquiler,1.0,60000.0,Pesos,Bº Villa Cabrera,30.05.2023,Dueño alquila local en Av. Caraffa
Departamento,Alquiler,1.0,115000.0,Pesos,Bº Nueva Córdoba,29.05.2023,ALQUILER 1 DORM A ESTRENAR SOBRE CAÑADA - DISPONIBLE DESDE ABRIL
Departamento,Alquiler,1.0,10.0,Pesos,Bº Centro,29.05.2023,PEATONAL 9 DE JULIO - LOCAL EN ALQUILER
Departamento,Alquiler,1.0,110000.0,Pesos,Bº Centro,29.05.2023,En Pleno centro -Zona Tribunales DPTO 1 Dormitorio en alquiler!
Departamento,Alquiler,3.0,180000.0,Pesos,Bº General Paz,24.05.2023,ALQUILER-CASA DE 3 DORM-GENERAL PAZ-PILETA
Departamento,Alquiler,1.0,350000.0,Pesos,Bº Centro,18.05.2023,OPORTUNIDAD!! PISOS DE OFICINAS !!! ADMINISTRATIVO Y SERVICIOS Bº CENTRO!!
Departamento,Alquiler,1.0,75000.0,Pesos,Bº Centro,16.05.2023,ZONA CENTRO ALQUILO DPTO 1 DORM-COC / COM-BAÑO
Casa,Alquiler,4.0,900.0,Dólares,Bº Villa Warcalde,15.05.2023,"Casa en alquiler,  4 dormitorios,  Villa Warcalde con importante parque y  amoblada"
Departamento,Alquiler,2.0,135000.0,Pesos,Bº General Paz,24.04.2023,ALQUILER DEPARTAMENTO 2 DORM 
Departamento,Alquiler,1.0,130000.0,Pesos,Bº Jardín,21.04.2023,Barrio Jardin - Seguridad 24 hs!
Departamento,Alquiler,1.0,45000.0,Pesos,Bº Centro,18.04.2023,Centro - Oficina Fte a Cañada - Zona Tribunales
Departamento,Alquiler,1.0,80000.0,Pesos,Bº Providencia,13.01.2023,DOS DORMITORIOS CON BALCÓN EXTERNO - Bº PROVIDENCIA
Departamento,Alquiler,2.0,75000.0,Pesos,Bº Nueva Córdoba,27.09.2022,"Bº NVA CBA RONDEAU 69,  2 DOR  SEG 24 HS."
Departamento,Alquiler,1.0,45000.0,Pesos,Bº Guemes,19.05.2022,"Guemes-Nva. Cba- Cañada 888 y F. Rivera,  Coc / Sep,  2Balc,  Ext,  Amplio"
Departamento,Alquiler,3.0,65000.0,Pesos,Bº Urquiza,06.05.2022,Dpto 3 Dorm - Villasol
Departamento,Alquiler,1.0,50000.0,Pesos,Bº Urquiza,06.05.2022,Ciudad GAMA - 1 Dormitorio amoblado
Departamento,Alquiler,1.0,45000.0,Pesos,Bº San Rafael,14.03.2022,"San Rafael,  zona colegios,  casa uso comercial.-"
Departamento,Alquiler,1.0,120000.0,Pesos,Bº Centro,14.09.2023,SE ALQUILA DPTO PLANTA BAJA CON PATIO -1 DORM -1BAÑO-COC / SEPARADA -LIV / COM
Departamento,Alquiler,1.0,100000.0,Pesos,Bº Valle Cercano,04.09.2023,VALLE CERCANO- COMPLEJO C / PILETA y SEGURIDAD- Dto. Externo 1dor.-
Departamento,Alquiler,1.0,40000.0,Pesos,Bº Villa Alberdi,28.08.2023,LOCAL EN ALQUILER
Departamento,Alquiler,1.0,80000.0,Pesos,Bº Centro,16.08.2023,OFICINA fte a Tribunales I - D. Quirós esq. Bolívar  - 4 privados 
Departamento,Alquiler,2.0,100000.0,Pesos,Bº Centro,11.08.2023,CENTRO - 2 DORM - LA RIOJA 122 mts AV. GRAL. PAZ
Departamento,Alquiler,1.0,85000.0,Pesos,Bº Yofre Sud,03.08.2023,Alquiler departamento 1 dormitorios Yofre Sud.
Departamento,Alquiler,1.0,160000.0,Pesos,Bº Centro,24.07.2023,SE ALQUILA DPTO 1 DORM PLANTA BAJA CON PATIO
Departamento,Alquiler,1.0,90000.0,Pesos,Bº Alto Alberdi,23.07.2023,Depto a mts. Nuevo Centro Shopping
Departamento,Alquiler,1.0,120000.0,Pesos,Bº Arguello,20.07.2023,Av. Ricardo Rojas 6.769 Arguello Cba. (Ver vídeo)
